UF;Codigo da Infraçcao;Quantidade
PERNAMBUCO;5495;15
PIAUI;5495;12
RIO DE JANEIRO;5495;3
RIO GRANDE DO NORTE;5495;9
RIO GRANDE DO SUL;5495;2
RONDONIA;5495;3
RORAIMA;5495;1
SANTA CATARINA;5495;1
SAO PAULO;5495;153
SERGIPE;5495;1
TOCANTINS;5495;3
ACRE;5509;9
ALAGOAS;5509;26
AMAZONAS;5509;62
AMAPA;5509;17
BAHIA;5509;435
CEARA;5509;215
DISTRITO FEDERAL;5509;53
ESPIRITO SANTO;5509;213
GOIAS;5509;170
MARANHAO;5509;90
MATO GROSSO;5509;88
MATO GROSSO DO SUL;5509;26
MINAS GERAIS;5509;1663
PARA;5509;408
PARAIBA;5509;71
PARANA;5509;332
PERNAMBUCO;5509;370
PIAUI;5509;98
RIO DE JANEIRO;5509;613
RIO GRANDE DO NORTE;5509;111
RIO GRANDE DO SUL;5509;176
RONDONIA;5509;98
RORAIMA;5509;9
SANTA CATARINA;5509;110
SAO PAULO;5509;2588
SERGIPE;5509;66
TOCANTINS;5509;15
ACRE;5517;7
ALAGOAS;5517;1
AMAZONAS;5517;9
BAHIA;5517;18
CEARA;5517;7
ESPIRITO SANTO;5517;4
GOIAS;5517;5
MARANHAO;5517;1
MATO GROSSO;5517;4
MATO GROSSO DO SUL;5517;1
MINAS GERAIS;5517;60
PARA;5517;2
PARAIBA;5517;1
PARANA;5517;7
PERNAMBUCO;5517;7
RIO DE JANEIRO;5517;43
RIO GRANDE DO SUL;5517;2
SANTA CATARINA;5517;7
SAO PAULO;5517;87
SERGIPE;5517;9
ACRE;5525;46
ALAGOAS;5525;41
AMAZONAS;5525;27
AMAPA;5525;5
BAHIA;5525;233
CEARA;5525;220
DISTRITO FEDERAL;5525;263
ESPIRITO SANTO;5525;165
GOIAS;5525;569
MARANHAO;5525;74
MATO GROSSO;5525;114
MATO GROSSO DO SUL;5525;64
MINAS GERAIS;5525;1041
PARA;5525;48
PARAIBA;5525;98
PARANA;5525;572
PERNAMBUCO;5525;478
PIAUI;5525;41
RIO DE JANEIRO;5525;365
RIO GRANDE DO NORTE;5525;92
RIO GRANDE DO SUL;5525;443
RONDONIA;5525;18
RORAIMA;5525;22
SANTA CATARINA;5525;554
SAO PAULO;5525;2480
SERGIPE;5525;110
TOCANTINS;5525;21
ESPIRITO SANTO;5533;1
GOIAS;5533;2
MINAS GERAIS;5533;1
PARANA;5533;1
RIO GRANDE DO NORTE;5533;1
SAO PAULO;5533;1
ACRE;5541;38
ALAGOAS;5541;234
AMAZONAS;5541;698
AMAPA;5541;139
BAHIA;5541;7428
CEARA;5541;2778
DISTRITO FEDERAL;5541;670
ESPIRITO SANTO;5541;1584
GOIAS;5541;7239
MARANHAO;5541;238
MATO GROSSO;5541;658
MATO GROSSO DO SUL;5541;1450
MINAS GERAIS;5541;22316
PARA;5541;479
PARAIBA;5541;1848
PARANA;5541;20782
PERNAMBUCO;5541;10472
PIAUI;5541;402
RIO DE JANEIRO;5541;4095
RIO GRANDE DO NORTE;5541;689
RIO GRANDE DO SUL;5541;3252
RONDONIA;5541;172
RORAIMA;5541;102
SANTA CATARINA;5541;8468
SAO PAULO;5541;59004
SERGIPE;5541;1343
TOCANTINS;5541;210
ACRE;5550;78
ALAGOAS;5550;867
AMAZONAS;5550;1147
AMAPA;5550;44
BAHIA;5550;2297
CEARA;5550;7048
DISTRITO FEDERAL;5550;1387
ESPIRITO SANTO;5550;1144
GOIAS;5550;5206
MARANHAO;5550;1219
MATO GROSSO;5550;739
MATO GROSSO DO SUL;5550;557
MINAS GERAIS;5550;7608
PARA;5550;1906
PARAIBA;5550;2744
PARANA;5550;4871
PERNAMBUCO;5550;10148
PIAUI;5550;1971
RIO DE JANEIRO;5550;2099
RIO GRANDE DO NORTE;5550;887
RIO GRANDE DO SUL;5550;2196
RONDONIA;5550;169
RORAIMA;5550;49
SANTA CATARINA;5550;2543
SAO PAULO;5550;44217
SERGIPE;5550;1984
TOCANTINS;5550;138
ACRE;5568;53
ALAGOAS;5568;270
AMAZONAS;5568;116
AMAPA;5568;191
BAHIA;5568;669
CEARA;5568;416
DISTRITO FEDERAL;5568;1142
ESPIRITO SANTO;5568;344
GOIAS;5568;10251
MARANHAO;5568;136
MATO GROSSO;5568;302
MATO GROSSO DO SUL;5568;156
MINAS GERAIS;5568;4734
PARA;5568;681
PARAIBA;5568;633
PARANA;5568;2349
PERNAMBUCO;5568;1489
PIAUI;5568;342
RIO DE JANEIRO;5568;1772
RIO GRANDE DO NORTE;5568;144
RIO GRANDE DO SUL;5568;1016
RONDONIA;5568;185
RORAIMA;5568;6
SANTA CATARINA;5568;1400
SAO PAULO;5568;13749
SERGIPE;5568;187
TOCANTINS;5568;96
ALAGOAS;5576;1
AMAZONAS;5576;6
BAHIA;5576;9
CEARA;5576;19
DISTRITO FEDERAL;5576;8
ESPIRITO SANTO;5576;3
GOIAS;5576;125
MARANHAO;5576;13
MATO GROSSO;5576;5
MATO GROSSO DO SUL;5576;5
MINAS GERAIS;5576;75
PARA;5576;27
PARAIBA;5576;7
PARANA;5576;12
PERNAMBUCO;5576;18
PIAUI;5576;1
RIO DE JANEIRO;5576;147
RIO GRANDE DO NORTE;5576;2
RIO GRANDE DO SUL;5576;6
RONDONIA;5576;1
SANTA CATARINA;5576;11
SAO PAULO;5576;111
TOCANTINS;5576;2
AMAZONAS;5584;1
BAHIA;5584;4
CEARA;5584;9
DISTRITO FEDERAL;5584;6
ESPIRITO SANTO;5584;2
GOIAS;5584;6
MARANHAO;5584;6
MATO GROSSO;5584;3
MATO GROSSO DO SUL;5584;1
MINAS GERAIS;5584;26
PARA;5584;1
PARAIBA;5584;2
PARANA;5584;10
PERNAMBUCO;5584;1
PIAUI;5584;5
RIO DE JANEIRO;5584;11
RIO GRANDE DO SUL;5584;8
RONDONIA;5584;1
SANTA CATARINA;5584;6
SAO PAULO;5584;215
SERGIPE;5584;2
ACRE;5592;1
ALAGOAS;5592;6
AMAZONAS;5592;27
AMAPA;5592;2
BAHIA;5592;61
CEARA;5592;169
DISTRITO FEDERAL;5592;11
ESPIRITO SANTO;5592;14
GOIAS;5592;124
MARANHAO;5592;132
MATO GROSSO;5592;17
MATO GROSSO DO SUL;5592;15
MINAS GERAIS;5592;648
PARA;5592;128
PARAIBA;5592;21
PARANA;5592;228
PERNAMBUCO;5592;216
PIAUI;5592;46
RIO DE JANEIRO;5592;43
RIO GRANDE DO NORTE;5592;13
RIO GRANDE DO SUL;5592;109
RONDONIA;5592;5
RORAIMA;5592;6
SANTA CATARINA;5592;61
SAO PAULO;5592;2869
SERGIPE;5592;30
TOCANTINS;5592;4
AMAZONAS;5606;1
AMAPA;5606;1
BAHIA;5606;5
CEARA;5606;1
DISTRITO FEDERAL;5606;19
ESPIRITO SANTO;5606;3
GOIAS;5606;83
MARANHAO;5606;2
MATO GROSSO;5606;3
MATO GROSSO DO SUL;5606;1
MINAS GERAIS;5606;61
PARA;5606;5
PARAIBA;5606;1
PARANA;5606;18
PERNAMBUCO;5606;9
RIO DE JANEIRO;5606;76
RIO GRANDE DO NORTE;5606;1
RIO GRANDE DO SUL;5606;5
RONDONIA;5606;2
SANTA CATARINA;5606;9
SAO PAULO;5606;54
ACRE;5614;1
ALAGOAS;5614;1
AMAZONAS;5614;3
AMAPA;5614;5
BAHIA;5614;36
CEARA;5614;36
DISTRITO FEDERAL;5614;21
ESPIRITO SANTO;5614;5
GOIAS;5614;81
MARANHAO;5614;4
MATO GROSSO;5614;181
MATO GROSSO DO SUL;5614;32
MINAS GERAIS;5614;133
PARA;5614;5
PARAIBA;5614;23
PARANA;5614;108
PERNAMBUCO;5614;38
PIAUI;5614;2
RIO DE JANEIRO;5614;91
RIO GRANDE DO NORTE;5614;22
RIO GRANDE DO SUL;5614;21
RONDONIA;5614;4
RORAIMA;5614;2
SANTA CATARINA;5614;84
SAO PAULO;5614;112
SERGIPE;5614;5
TOCANTINS;5614;1
ACRE;5622;3
ALAGOAS;5622;15
AMAZONAS;5622;25
AMAPA;5622;27
BAHIA;5622;222
CEARA;5622;416
DISTRITO FEDERAL;5622;36
ESPIRITO SANTO;5622;136
GOIAS;5622;384
MARANHAO;5622;74
MATO GROSSO;5622;86
MATO GROSSO DO SUL;5622;33
MINAS GERAIS;5622;422
PARA;5622;51
PARAIBA;5622;37
PARANA;5622;279
PERNAMBUCO;5622;540
PIAUI;5622;161
RIO DE JANEIRO;5622;126
RIO GRANDE DO NORTE;5622;17
RIO GRANDE DO SUL;5622;102
RONDONIA;5622;8
RORAIMA;5622;3
SANTA CATARINA;5622;171
SAO PAULO;5622;1801
SERGIPE;5622;40
TOCANTINS;5622;5
ACRE;5630;1
ALAGOAS;5630;23
AMAZONAS;5630;11
BAHIA;5630;19
CEARA;5630;266
DISTRITO FEDERAL;5630;19
ESPIRITO SANTO;5630;44
GOIAS;5630;66
MARANHAO;5630;7
MATO GROSSO;5630;9
MATO GROSSO DO SUL;5630;2
MINAS GERAIS;5630;170
PARA;5630;28
PARAIBA;5630;8
PARANA;5630;126
PERNAMBUCO;5630;570
PIAUI;5630;28
RIO DE JANEIRO;5630;25
RIO GRANDE DO NORTE;5630;19
RIO GRANDE DO SUL;5630;61
SANTA CATARINA;5630;35
SAO PAULO;5630;1280
SERGIPE;5630;11
TOCANTINS;5630;1
BAHIA;5649;146
GOIAS;5649;1
MINAS GERAIS;5649;9
PERNAMBUCO;5649;2
SAO PAULO;5649;10
ACRE;5657;1
ALAGOAS;5657;1
AMAPA;5657;2
BAHIA;5657;2
CEARA;5657;2
DISTRITO FEDERAL;5657;10
ESPIRITO SANTO;5657;2
GOIAS;5657;49
MARANHAO;5657;7
MATO GROSSO;5657;8
MINAS GERAIS;5657;63
PARA;5657;1
PARAIBA;5657;1
PARANA;5657;17
PERNAMBUCO;5657;7
PIAUI;5657;3
RIO DE JANEIRO;5657;5
RIO GRANDE DO SUL;5657;9
SANTA CATARINA;5657;16
SAO PAULO;5657;79
SERGIPE;5657;2
ACRE;5665;2
ALAGOAS;5665;157
AMAZONAS;5665;16
AMAPA;5665;5
BAHIA;5665;44
CEARA;5665;753
DISTRITO FEDERAL;5665;23
ESPIRITO SANTO;5665;53
GOIAS;5665;255
MARANHAO;5665;105
MATO GROSSO;5665;27
MATO GROSSO DO SUL;5665;5
MINAS GERAIS;5665;589
PARA;5665;6
PARAIBA;5665;16
PARANA;5665;157
PERNAMBUCO;5665;143
PIAUI;5665;12
RIO DE JANEIRO;5665;44
RIO GRANDE DO NORTE;5665;16
RIO GRANDE DO SUL;5665;157
RORAIMA;5665;2
SANTA CATARINA;5665;86
SAO PAULO;5665;2183
SERGIPE;5665;17
TOCANTINS;5665;5
ACRE;5673;10
ALAGOAS;5673;80
AMAZONAS;5673;35
AMAPA;5673;17
BAHIA;5673;116
CEARA;5673;3057
DISTRITO FEDERAL;5673;224
ESPIRITO SANTO;5673;28
GOIAS;5673;5052
MARANHAO;5673;91
MATO GROSSO;5673;2379
MATO GROSSO DO SUL;5673;147
MINAS GERAIS;5673;1731
PARA;5673;696
PARAIBA;5673;495
PARANA;5673;3279
PERNAMBUCO;5673;817
PIAUI;5673;1793
RIO DE JANEIRO;5673;113
RIO GRANDE DO NORTE;5673;204
RIO GRANDE DO SUL;5673;634
RONDONIA;5673;22
RORAIMA;5673;103
SANTA CATARINA;5673;1543
SAO PAULO;5673;14541
SERGIPE;5673;160
TOCANTINS;5673;111
ACRE;5681;5
ALAGOAS;5681;1459
AMAZONAS;5681;14
AMAPA;5681;25
BAHIA;5681;264
CEARA;5681;70
DISTRITO FEDERAL;5681;7860
ESPIRITO SANTO;5681;34
GOIAS;5681;1798
MARANHAO;5681;388
MATO GROSSO;5681;141
MATO GROSSO DO SUL;5681;62
MINAS GERAIS;5681;1226
PARA;5681;3042
PARAIBA;5681;87
PARANA;5681;226
PERNAMBUCO;5681;122
PIAUI;5681;72
RIO DE JANEIRO;5681;594
RIO GRANDE DO NORTE;5681;920
RIO GRANDE DO SUL;5681;120
RONDONIA;5681;41
RORAIMA;5681;5
SANTA CATARINA;5681;180
SAO PAULO;5681;4409
SERGIPE;5681;24
TOCANTINS;5681;85
ACRE;5690;8
BAHIA;5690;6
CEARA;5690;4
DISTRITO FEDERAL;5690;1410
ESPIRITO SANTO;5690;6
GOIAS;5690;223
MARANHAO;5690;4
MATO GROSSO;5690;3
MATO GROSSO DO SUL;5690;3
MINAS GERAIS;5690;730
PARA;5690;17
PARAIBA;5690;5
PARANA;5690;8
PERNAMBUCO;5690;40
PIAUI;5690;2
RIO DE JANEIRO;5690;34
RIO GRANDE DO NORTE;5690;1
RIO GRANDE DO SUL;5690;7
RORAIMA;5690;2
SANTA CATARINA;5690;8
SAO PAULO;5690;882
TOCANTINS;5690;7
ACRE;5703;3
ALAGOAS;5703;16
AMAZONAS;5703;946
BAHIA;5703;459
CEARA;5703;39
DISTRITO FEDERAL;5703;55
ESPIRITO SANTO;5703;62
GOIAS;5703;150
MARANHAO;5703;98
MATO GROSSO;5703;53
MATO GROSSO DO SUL;5703;84
MINAS GERAIS;5703;528
PARA;5703;16
PARAIBA;5703;3
PARANA;5703;953
PERNAMBUCO;5703;102
PIAUI;5703;20
RIO DE JANEIRO;5703;105
RIO GRANDE DO NORTE;5703;14
RIO GRANDE DO SUL;5703;239
RONDONIA;5703;15
RORAIMA;5703;1
SANTA CATARINA;5703;895
SAO PAULO;5703;8757
SERGIPE;5703;13
TOCANTINS;5703;19
AMAZONAS;5711;12
BAHIA;5711;15
CEARA;5711;12
DISTRITO FEDERAL;5711;111
ESPIRITO SANTO;5711;34
GOIAS;5711;97
MATO GROSSO;5711;22
MATO GROSSO DO SUL;5711;19
MINAS GERAIS;5711;167
PARA;5711;7
PARAIBA;5711;7
PARANA;5711;230
PERNAMBUCO;5711;19
PIAUI;5711;4
RIO DE JANEIRO;5711;32
RIO GRANDE DO NORTE;5711;5
RIO GRANDE DO SUL;5711;91
RONDONIA;5711;2
SANTA CATARINA;5711;214
SAO PAULO;5711;457
SERGIPE;5711;7
TOCANTINS;5711;4
ACRE;5720;31
ALAGOAS;5720;830
AMAZONAS;5720;54
AMAPA;5720;11
BAHIA;5720;140
CEARA;5720;247
DISTRITO FEDERAL;5720;108
ESPIRITO SANTO;5720;38
GOIAS;5720;493
MARANHAO;5720;39
MATO GROSSO;5720;28
MATO GROSSO DO SUL;5720;17
MINAS GERAIS;5720;374
PARA;5720;27
PARAIBA;5720;33
PARANA;5720;199
PERNAMBUCO;5720;263
PIAUI;5720;33
RIO DE JANEIRO;5720;79
RIO GRANDE DO NORTE;5720;33
RIO GRANDE DO SUL;5720;126
RONDONIA;5720;10
RORAIMA;5720;11
SANTA CATARINA;5720;191
SAO PAULO;5720;1148
SERGIPE;5720;68
TOCANTINS;5720;14
ACRE;5738;66
ALAGOAS;5738;104
AMAZONAS;5738;394
AMAPA;5738;41
BAHIA;5738;1150
CEARA;5738;1175
DISTRITO FEDERAL;5738;365
ESPIRITO SANTO;5738;339
GOIAS;5738;2717
MARANHAO;5738;294
MATO GROSSO;5738;245
MATO GROSSO DO SUL;5738;101
MINAS GERAIS;5738;1565
PARA;5738;634
PARAIBA;5738;449
PARANA;5738;663
PERNAMBUCO;5738;982
PIAUI;5738;348
RIO DE JANEIRO;5738;814
RIO GRANDE DO NORTE;5738;349
RIO GRANDE DO SUL;5738;257
RONDONIA;5738;111
RORAIMA;5738;60
SANTA CATARINA;5738;445
SAO PAULO;5738;6312
SERGIPE;5738;475
TOCANTINS;5738;95
ACRE;5746;21
ALAGOAS;5746;86
AMAZONAS;5746;50
AMAPA;5746;3
BAHIA;5746;1366
CEARA;5746;1028
DISTRITO FEDERAL;5746;371
ESPIRITO SANTO;5746;541
GOIAS;5746;690
MARANHAO;5746;106
MATO GROSSO;5746;297
MATO GROSSO DO SUL;5746;386
MINAS GERAIS;5746;11840
PARA;5746;217
PARAIBA;5746;154
PARANA;5746;3210
PERNAMBUCO;5746;1122
PIAUI;5746;105
RIO DE JANEIRO;5746;1593
RIO GRANDE DO NORTE;5746;458
RIO GRANDE DO SUL;5746;803
RONDONIA;5746;79
RORAIMA;5746;13
SANTA CATARINA;5746;2016
SAO PAULO;5746;177344
SERGIPE;5746;92
TOCANTINS;5746;98
ALAGOAS;5762;1
AMAZONAS;5762;1
BAHIA;5762;5
CEARA;5762;2
GOIAS;5762;6
MATO GROSSO;5762;1
MATO GROSSO DO SUL;5762;1
MINAS GERAIS;5762;9
PARAIBA;5762;150
PARANA;5762;8
PERNAMBUCO;5762;15
RIO DE JANEIRO;5762;3
RIO GRANDE DO NORTE;5762;7
RIO GRANDE DO SUL;5762;6
SANTA CATARINA;5762;3
SAO PAULO;5762;7
SERGIPE;5762;1
ALAGOAS;5770;4
AMAZONAS;5770;5
BAHIA;5770;13
CEARA;5770;7
DISTRITO FEDERAL;5770;34
ESPIRITO SANTO;5770;5
GOIAS;5770;28
MARANHAO;5770;1
MATO GROSSO;5770;3
MATO GROSSO DO SUL;5770;6
MINAS GERAIS;5770;18
PARA;5770;3
PARAIBA;5770;5
PARANA;5770;12
PERNAMBUCO;5770;32
PIAUI;5770;1
RIO DE JANEIRO;5770;26
RIO GRANDE DO NORTE;5770;1
RIO GRANDE DO SUL;5770;5
SANTA CATARINA;5770;19
SAO PAULO;5770;80
SERGIPE;5770;3
DISTRITO FEDERAL;5789;2
ESPIRITO SANTO;5789;1
GOIAS;5789;8
MATO GROSSO;5789;1
MINAS GERAIS;5789;3
PARAIBA;5789;1
PARANA;5789;1
PERNAMBUCO;5789;2
RIO DE JANEIRO;5789;2
SANTA CATARINA;5789;3
SAO PAULO;5789;3
ALAGOAS;5797;3
AMAZONAS;5797;1
AMAPA;5797;3
BAHIA;5797;45
CEARA;5797;11
DISTRITO FEDERAL;5797;28
ESPIRITO SANTO;5797;8
GOIAS;5797;19
MARANHAO;5797;1
MATO GROSSO;5797;9
MATO GROSSO DO SUL;5797;4
MINAS GERAIS;5797;69
PARA;5797;11
PARAIBA;5797;4
PARANA;5797;37
PERNAMBUCO;5797;18
PIAUI;5797;2
RIO DE JANEIRO;5797;12
RIO GRANDE DO NORTE;5797;3
RIO GRANDE DO SUL;5797;22
RONDONIA;5797;6
SANTA CATARINA;5797;66
SAO PAULO;5797;95
SERGIPE;5797;3
TOCANTINS;5797;3
ACRE;5800;1
ALAGOAS;5800;4
AMAZONAS;5800;5
BAHIA;5800;5
CEARA;5800;10
DISTRITO FEDERAL;5800;85
ESPIRITO SANTO;5800;6
GOIAS;5800;64
MARANHAO;5800;3
MATO GROSSO;5800;10
MATO GROSSO DO SUL;5800;7
MINAS GERAIS;5800;186
PARA;5800;1
PARAIBA;5800;1
PARANA;5800;61
PERNAMBUCO;5800;7
PIAUI;5800;1
RIO DE JANEIRO;5800;15
RIO GRANDE DO NORTE;5800;3
RIO GRANDE DO SUL;5800;25
SANTA CATARINA;5800;128
SAO PAULO;5800;1420
SERGIPE;5800;4
TOCANTINS;5800;2
ACRE;5819;82
ALAGOAS;5819;118
AMAZONAS;5819;130
AMAPA;5819;22
BAHIA;5819;541
CEARA;5819;576
DISTRITO FEDERAL;5819;937
ESPIRITO SANTO;5819;84
GOIAS;5819;1363
MARANHAO;5819;278
MATO GROSSO;5819;200
MATO GROSSO DO SUL;5819;36
MINAS GERAIS;5819;1087
PARA;5819;854
PARAIBA;5819;124
PARANA;5819;399
PERNAMBUCO;5819;473
PIAUI;5819;95
RIO DE JANEIRO;5819;529
RIO GRANDE DO NORTE;5819;61
RIO GRANDE DO SUL;5819;268
RONDONIA;5819;50
RORAIMA;5819;36
SANTA CATARINA;5819;556
SAO PAULO;5819;4591
SERGIPE;5819;436
TOCANTINS;5819;33
ACRE;5827;1
ALAGOAS;5827;2
AMAZONAS;5827;6
BAHIA;5827;25
CEARA;5827;11
DISTRITO FEDERAL;5827;9
ESPIRITO SANTO;5827;6
GOIAS;5827;26
MARANHAO;5827;6
MATO GROSSO;5827;5
MATO GROSSO DO SUL;5827;4
MINAS GERAIS;5827;76
PARA;5827;3
PARAIBA;5827;7
PARANA;5827;23
PERNAMBUCO;5827;30
PIAUI;5827;1
RIO DE JANEIRO;5827;23
RIO GRANDE DO NORTE;5827;2
RIO GRANDE DO SUL;5827;16
RONDONIA;5827;3
RORAIMA;5827;1
SANTA CATARINA;5827;15
SAO PAULO;5827;322
SERGIPE;5827;10
ACRE;5835;51
ALAGOAS;5835;33
AMAZONAS;5835;37
AMAPA;5835;33
BAHIA;5835;302
CEARA;5835;529
DISTRITO FEDERAL;5835;134
ESPIRITO SANTO;5835;106
GOIAS;5835;268
MARANHAO;5835;92
MATO GROSSO;5835;79
MATO GROSSO DO SUL;5835;54
MINAS GERAIS;5835;732
PARA;5835;307
PARAIBA;5835;140
PARANA;5835;385
PERNAMBUCO;5835;511
PIAUI;5835;50
RIO DE JANEIRO;5835;617
RIO GRANDE DO NORTE;5835;92
RIO GRANDE DO SUL;5835;529
RONDONIA;5835;41
RORAIMA;5835;17
SANTA CATARINA;5835;437
SAO PAULO;5835;1839
SERGIPE;5835;123
TOCANTINS;5835;24
ACRE;5843;5
ALAGOAS;5843;65
AMAZONAS;5843;97
AMAPA;5843;1
BAHIA;5843;98
CEARA;5843;84
DISTRITO FEDERAL;5843;679
ESPIRITO SANTO;5843;23
GOIAS;5843;242
MARANHAO;5843;14
MATO GROSSO;5843;49
MATO GROSSO DO SUL;5843;8
MINAS GERAIS;5843;628
PARA;5843;13
PARAIBA;5843;23
PARANA;5843;236
PERNAMBUCO;5843;704
PIAUI;5843;8
RIO DE JANEIRO;5843;65
RIO GRANDE DO NORTE;5843;12
RIO GRANDE DO SUL;5843;348
RONDONIA;5843;6
RORAIMA;5843;21
SANTA CATARINA;5843;131
SAO PAULO;5843;5105
SERGIPE;5843;27
TOCANTINS;5843;8
ALAGOAS;5851;10
AMAZONAS;5851;22
BAHIA;5851;11
CEARA;5851;657
DISTRITO FEDERAL;5851;85
ESPIRITO SANTO;5851;63
GOIAS;5851;56
MARANHAO;5851;4
MATO GROSSO;5851;23
MATO GROSSO DO SUL;5851;5
MINAS GERAIS;5851;195
PARA;5851;18
PARAIBA;5851;24
PARANA;5851;106
PERNAMBUCO;5851;844
PIAUI;5851;8
RIO DE JANEIRO;5851;11
RIO GRANDE DO NORTE;5851;16
RIO GRANDE DO SUL;5851;95
RONDONIA;5851;1
SANTA CATARINA;5851;26
SAO PAULO;5851;1352
SERGIPE;5851;9
TOCANTINS;5851;1
AMAZONAS;5860;1
BAHIA;5860;3
CEARA;5860;4
DISTRITO FEDERAL;5860;40
ESPIRITO SANTO;5860;1
GOIAS;5860;16
MATO GROSSO;5860;2
MATO GROSSO DO SUL;5860;1
MINAS GERAIS;5860;26
PARA;5860;1
PARANA;5860;5
PERNAMBUCO;5860;8
PIAUI;5860;2
RIO DE JANEIRO;5860;9
RIO GRANDE DO NORTE;5860;1
RIO GRANDE DO SUL;5860;5
RORAIMA;5860;1
SANTA CATARINA;5860;3
SAO PAULO;5860;47
SERGIPE;5860;13
ACRE;5878;4
ALAGOAS;5878;1
AMAPA;5878;1
BAHIA;5878;21
CEARA;5878;9
DISTRITO FEDERAL;5878;30
ESPIRITO SANTO;5878;18
GOIAS;5878;63
MARANHAO;5878;1
MATO GROSSO;5878;8
MATO GROSSO DO SUL;5878;7
MINAS GERAIS;5878;137
PARA;5878;6
PARAIBA;5878;2
PARANA;5878;75
PERNAMBUCO;5878;13
PIAUI;5878;2
RIO DE JANEIRO;5878;11
RIO GRANDE DO SUL;5878;16
RONDONIA;5878;2
RORAIMA;5878;2
SANTA CATARINA;5878;45
SAO PAULO;5878;340
SERGIPE;5878;8
TOCANTINS;5878;1
DISTRITO FEDERAL;5886;1
ESPIRITO SANTO;5886;2
PARA;5886;3
SAO PAULO;5886;2
BAHIA;5894;3
ESPIRITO SANTO;5894;1
MATO GROSSO;5894;1
MINAS GERAIS;5894;3
SAO PAULO;5894;2
SERGIPE;5894;1
ACRE;5908;2
ALAGOAS;5908;5
AMAPA;5908;9
BAHIA;5908;32
CEARA;5908;14
DISTRITO FEDERAL;5908;70
ESPIRITO SANTO;5908;7
GOIAS;5908;30
MARANHAO;5908;2
MATO GROSSO;5908;4
MATO GROSSO DO SUL;5908;1
MINAS GERAIS;5908;47
PARA;5908;9
PARAIBA;5908;6
PARANA;5908;24
PERNAMBUCO;5908;14
PIAUI;5908;3
RIO DE JANEIRO;5908;56
RIO GRANDE DO NORTE;5908;7
RIO GRANDE DO SUL;5908;9
RONDONIA;5908;1
SANTA CATARINA;5908;34
SAO PAULO;5908;167
SERGIPE;5908;2
BAHIA;5916;1
DISTRITO FEDERAL;5916;2
GOIAS;5916;2
MATO GROSSO DO SUL;5916;1
MINAS GERAIS;5916;20
PARA;5916;1
PARANA;5916;18
PERNAMBUCO;5916;1
RIO DE JANEIRO;5916;3
RIO GRANDE DO SUL;5916;2
SANTA CATARINA;5916;3
SAO PAULO;5916;48
SERGIPE;5916;1
ALAGOAS;5924;1
AMAZONAS;5924;1
AMAPA;5924;1
BAHIA;5924;19
CEARA;5924;6
DISTRITO FEDERAL;5924;5
ESPIRITO SANTO;5924;3
GOIAS;5924;10
MARANHAO;5924;2
MATO GROSSO;5924;7
MATO GROSSO DO SUL;5924;1
MINAS GERAIS;5924;13
PARAIBA;5924;5
PARANA;5924;7
PERNAMBUCO;5924;5
PIAUI;5924;1
RIO GRANDE DO SUL;5924;13
RONDONIA;5924;2
SANTA CATARINA;5924;10
SAO PAULO;5924;25
SERGIPE;5924;3
TOCANTINS;5924;2
BAHIA;5932;2
DISTRITO FEDERAL;5932;2
ESPIRITO SANTO;5932;3
GOIAS;5932;13
MARANHAO;5932;1
MINAS GERAIS;5932;5
PARANA;5932;7
PERNAMBUCO;5932;1
RIO DE JANEIRO;5932;4
RIO GRANDE DO SUL;5932;1
SANTA CATARINA;5932;10
SAO PAULO;5932;22
ALAGOAS;5940;1
AMAPA;5940;1
BAHIA;5940;32
CEARA;5940;4
DISTRITO FEDERAL;5940;10
ESPIRITO SANTO;5940;3
GOIAS;5940;15
MARANHAO;5940;2
MATO GROSSO;5940;9
MATO GROSSO DO SUL;5940;1
MINAS GERAIS;5940;36
PARAIBA;5940;1
PARANA;5940;5
PERNAMBUCO;5940;5
RIO DE JANEIRO;5940;3
RIO GRANDE DO NORTE;5940;1
RIO GRANDE DO SUL;5940;5
RORAIMA;5940;1
SANTA CATARINA;5940;10
SAO PAULO;5940;19
SERGIPE;5940;4
TOCANTINS;5940;1
ACRE;5959;5
AMAZONAS;5959;1
BAHIA;5959;11
CEARA;5959;6
DISTRITO FEDERAL;5959;12
ESPIRITO SANTO;5959;9
GOIAS;5959;73
MARANHAO;5959;1
MATO GROSSO;5959;10
MINAS GERAIS;5959;98
PARA;5959;10
PARAIBA;5959;4
PARANA;5959;30
PERNAMBUCO;5959;46
PIAUI;5959;2
RIO DE JANEIRO;5959;18
RIO GRANDE DO NORTE;5959;8
RIO GRANDE DO SUL;5959;11
RONDONIA;5959;2
RORAIMA;5959;1
SANTA CATARINA;5959;16
SAO PAULO;5959;102
SERGIPE;5959;21
TOCANTINS;5959;1
ACRE;5967;10
ALAGOAS;5967;51
AMAZONAS;5967;21
AMAPA;5967;5
BAHIA;5967;519
CEARA;5967;331
DISTRITO FEDERAL;5967;1015
ESPIRITO SANTO;5967;122
GOIAS;5967;1785
MARANHAO;5967;58
MATO GROSSO;5967;287
MATO GROSSO DO SUL;5967;195
MINAS GERAIS;5967;2149
PARA;5967;115
PARAIBA;5967;98
PARANA;5967;1172
PERNAMBUCO;5967;151
PIAUI;5967;56
RIO DE JANEIRO;5967;243
RIO GRANDE DO NORTE;5967;60
